"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2026","16.88","16.04","19.74","16.02","","3.24%"
"01/28/2026","16.35","16.09","17.18","16.05","","0.00%"
"01/27/2026","16.35","16.02","16.37","15.74","","1.24%"
"01/26/2026","16.15","16.90","17.39","15.80","","0.37%"
"01/23/2026","16.09","15.68","16.21","15.30","","2.88%"
"01/22/2026","15.64","16.65","16.67","15.27","","-7.46%"
"01/21/2026","16.90","19.31","20.81","16.67","","-15.88%"
"01/20/2026","20.09","19.94","20.99","18.64","","6.63%"
"01/19/2026","18.84","18.63","19.59","18.28","","18.79%"
"01/16/2026","15.86","15.44","16.29","15.30","","0.13%"
"01/15/2026","15.84","16.52","16.54","15.30","","-5.43%"
"01/14/2026","16.75","16.33","18.10","16.22","","4.82%"
"01/13/2026","15.98","15.36","16.50","14.75","","5.69%"
"01/12/2026","15.12","16.06","16.66","15.03","","4.35%"
"01/09/2026","14.49","15.68","15.81","14.43","","-6.21%"
"01/08/2026","15.45","15.69","15.85","15.15","","0.46%"
"01/07/2026","15.38","14.95","15.48","14.83","","4.27%"
"01/06/2026","14.75","15.00","15.21","14.63","","-1.01%"
"01/05/2026","14.90","15.14","15.27","14.65","","2.69%"
"01/02/2026","14.51","14.85","15.42","14.46","","-2.94%"
"01/01/2026","14.95","14.95","14.95","14.95","","0.00%"
"12/31/2025","14.95","14.77","15.17","14.38","","4.33%"
"12/30/2025","14.33","14.43","14.62","14.04","","0.92%"